syriaca_place,pleiades_place
http://syriaca.org/place/111,http://pleiades.stoa.org/places/912880
http://syriaca.org/place/78,http://pleiades.stoa.org/places/658457
http://syriaca.org/place/226,http://pleiades.stoa.org/places/874583
http://syriaca.org/place/100,http://pleiades.stoa.org/places/874530
http://syriaca.org/place/139,http://pleiades.stoa.org/places/874609
http://syriaca.org/place/219,http://pleiades.stoa.org/places/912800
http://syriaca.org/place/10,http://pleiades.stoa.org/places/658381
http://syriaca.org/place/35,http://pleiades.stoa.org/places/912873
http://syriaca.org/place/993,http://pleiades.stoa.org/places/893935
http://syriaca.org/place/486,http://pleiades.stoa.org/places/1306
http://syriaca.org/place/572,http://pleiades.stoa.org/places/727070
http://syriaca.org/place/33,http://pleiades.stoa.org/places/893999
http://syriaca.org/place/710,http://pleiades.stoa.org/places/874340
http://syriaca.org/place/13,http://pleiades.stoa.org/places/874341
http://syriaca.org/place/142,http://pleiades.stoa.org/places/874623
http://syriaca.org/place/464,http://pleiades.stoa.org/places/39286
http://syriaca.org/place/53,http://pleiades.stoa.org/places/678401
http://syriaca.org/place/586,http://pleiades.stoa.org/places/520998
http://syriaca.org/place/67,http://pleiades.stoa.org/places/874444
http://syriaca.org/place/149,http://pleiades.stoa.org/places/991396
http://syriaca.org/place/104,http://pleiades.stoa.org/places/687928
http://syriaca.org/place/563,http://pleiades.stoa.org/places/746815
http://syriaca.org/place/1452,http://pleiades.stoa.org/places/874602
http://syriaca.org/place/221,http://pleiades.stoa.org/places/874477
http://syriaca.org/place/805,http://pleiades.stoa.org/places/687856
http://syriaca.org/place/7,http://pleiades.stoa.org/places/981503
http://syriaca.org/place/193,http://pleiades.stoa.org/places/894099
http://syriaca.org/place/11,http://pleiades.stoa.org/places/668335
http://syriaca.org/place/204,http://pleiades.stoa.org/places/894183
http://syriaca.org/place/1459,http://pleiades.stoa.org/places/1001889
http://syriaca.org/place/136,http://pleiades.stoa.org/places/629040
http://syriaca.org/place/82,http://pleiades.stoa.org/places/912849
http://syriaca.org/place/87,http://pleiades.stoa.org/places/687902
http://syriaca.org/place/289,http://pleiades.stoa.org/places/727232
http://syriaca.org/place/439,http://pleiades.stoa.org/places/511218
http://syriaca.org/place/138,http://pleiades.stoa.org/places/658538
http://syriaca.org/place/230,http://pleiades.stoa.org/places/658579
http://syriaca.org/place/576,http://pleiades.stoa.org/places/874350
http://syriaca.org/place/202,http://pleiades.stoa.org/places/912964
http://syriaca.org/place/52,http://pleiades.stoa.org/places/668216
http://syriaca.org/place/717,http://pleiades.stoa.org/places/893958
http://syriaca.org/place/34,http://pleiades.stoa.org/places/912823
http://syriaca.org/place/677,http://pleiades.stoa.org/places/579885
http://syriaca.org/place/108,http://pleiades.stoa.org/places/893941
http://syriaca.org/place/607,http://pleiades.stoa.org/places/961873
http://syriaca.org/place/58,http://pleiades.stoa.org/places/893976
http://syriaca.org/place/8,http://pleiades.stoa.org/places/874298
http://syriaca.org/place/130,http://pleiades.stoa.org/places/874588
http://syriaca.org/place/195,http://pleiades.stoa.org/places/678437
http://syriaca.org/place/215,http://pleiades.stoa.org/places/668261
http://syriaca.org/place/227,http://pleiades.stoa.org/places/874581
http://syriaca.org/place/623,http://pleiades.stoa.org/places/599612
http://syriaca.org/place/493,http://pleiades.stoa.org/places/874707
http://syriaca.org/place/641,http://pleiades.stoa.org/places/423025
http://syriaca.org/place/216,http://pleiades.stoa.org/places/658427
http://syriaca.org/place/415,http://pleiades.stoa.org/places/912936
http://syriaca.org/place/875,http://pleiades.stoa.org/places/599986393
http://syriaca.org/place/109,http://pleiades.stoa.org/places/668318
http://syriaca.org/place/200,http://pleiades.stoa.org/places/874324
http://syriaca.org/place/162,http://pleiades.stoa.org/places/668226
http://syriaca.org/place/178,http://pleiades.stoa.org/places/658587
http://syriaca.org/place/524,http://pleiades.stoa.org/places/874700
http://syriaca.org/place/96,http://pleiades.stoa.org/places/912865
http://syriaca.org/place/165,http://pleiades.stoa.org/places/668354
http://syriaca.org/place/128,http://pleiades.stoa.org/places/874536
http://syriaca.org/place/88,http://pleiades.stoa.org/places/874296
http://syriaca.org/place/698,http://pleiades.stoa.org/places/687995
http://syriaca.org/place/590,http://pleiades.stoa.org/places/39274
http://syriaca.org/place/147,http://pleiades.stoa.org/places/658560
http://syriaca.org/place/42,http://pleiades.stoa.org/places/874379
http://syriaca.org/place/217,http://pleiades.stoa.org/places/874496
http://syriaca.org/place/121,http://pleiades.stoa.org/places/894184
http://syriaca.org/place/494,http://pleiades.stoa.org/places/619103
http://syriaca.org/place/144,http://pleiades.stoa.org/places/874621
http://syriaca.org/place/18,http://pleiades.stoa.org/places/658409
http://syriaca.org/place/392,http://pleiades.stoa.org/places/874582
http://syriaca.org/place/122,http://pleiades.stoa.org/places/658480
http://syriaca.org/place/358,http://pleiades.stoa.org/places/876742
http://syriaca.org/place/339,http://pleiades.stoa.org/places/874579
http://syriaca.org/place/196,http://pleiades.stoa.org/places/648789
http://syriaca.org/place/500,http://pleiades.stoa.org/places/50004
http://syriaca.org/place/1472,http://pleiades.stoa.org/places/599564
http://syriaca.org/place/172,http://pleiades.stoa.org/places/874662
http://syriaca.org/place/66,http://pleiades.stoa.org/places/678106
http://syriaca.org/place/83,http://pleiades.stoa.org/places/658465
http://syriaca.org/place/399,http://pleiades.stoa.org/places/874524
http://syriaca.org/place/64,http://pleiades.stoa.org/places/648723
http://syriaca.org/place/1529,http://pleiades.stoa.org/places/550497
http://syriaca.org/place/198,http://pleiades.stoa.org/places/658614
http://syriaca.org/place/2674,http://pleiades.stoa.org/places/863807
http://syriaca.org/place/635,http://pleiades.stoa.org/places/658606/
http://syriaca.org/place/621,http://pleiades.stoa.org/places/511268
http://syriaca.org/place/185,http://pleiades.stoa.org/places/668376
http://syriaca.org/place/622,http://pleiades.stoa.org/places/520988/
http://syriaca.org/place/174,http://pleiades.stoa.org/places/648771
http://syriaca.org/place/145,http://pleiades.stoa.org/places/991406
http://syriaca.org/place/65,http://pleiades.stoa.org/places/658446
http://syriaca.org/place/502,http://pleiades.stoa.org/places/511337
