manual-qid,NCTId,pi_strings,pi_titles,pi_affiliations
Q42415822,NCT00962728,"Satish R Raj, MD MSCI",,Vanderbilt University School of Medicine
Q42415822,NCT00962884,"Satish R Raj, MD MSCI",,Vanderbilt University School of Medicine
Q42415822,NCT01547117,"Satish R Raj, MD MSCI",,Vanderbilt University
Q42415822,NCT01550315,"Satish R Raj, MD MSCI",,Vanderbilt University
Q42415822,NCT00262470,"Satish R Raj, MD MSCI | Satish R. Raj",Assistant Professor of Medicine & Pharmacology,Vanderbilt University School of Medicine
Q42415822,NCT00580996,"Satish R Raj, MD MSCI | Satish R. Raj",Assistant Professor of Medicine & Pharmacology,Vanderbilt University
Q42415822,NCT00581022,"Satish R Raj, MD MSCI | Satish R. Raj",Assistant Professor of Medicine & Pharmacology,Vanderbilt University
Q42415822,NCT00581373,"Satish R Raj, MD MSCI | Satish R. Raj",Assistant Professor of Medicine & Pharmacology,Vanderbilt University
Q42415822,NCT00581633,"Satish R Raj, MD MSCI | Satish R. Raj",Assistant Professor of Medicine & Pharmacology,Vanderbilt University
Q42415822,NCT00692471,"Satish R Raj, MD MSCI | Satish R. Raj",Assistant Professor of Medicine & Pharmacology,Vanderbilt University
Q42415822,NCT00715065,"Satish R Raj, MD MSCI | Satish R. Raj",Assistant Professor,Vanderbilt University
Q42415822,NCT01000350,"Satish R Raj, MD MSCI | Satish R. Raj",Adjunct Associate Professor of Medicine,Vanderbilt University
Q42415822,NCT03218761,"Satish R Raj, MD MSCI | Satish R. Raj",Adjunct Associate Professor of Medicine,Vanderbilt University
Q42415822,NCT04036305,"Satish R Raj, MD MSCI | Satish R. Raj",Adjunct Associate Professor of Medicine,Vanderbilt University Medical Center
Q42415822,NCT00581321,"Satish R Raj, MD, MSCI | Satish R. Raj",Assistant Professor of Medicine & Cardiology,Vanderbilt University
Q42415822,NCT00962949,Satish R. Raj,Adjunct Assoc Professor,
Q42415822,NCT01593579,Satish R. Raj,Assistant Professor,
Q42415822,NCT01366963,"Satish Raj, MD, MSCI | Satish R. Raj",Assistant Professor of Medicine,Vanderbilt University
Q42415822,NCT02196376,"Satish Raj, MD, MSCI | Satish R. Raj",Adjunct Associate Professor of Medicine and Pharmacology,Vanderbilt University
Q66104961,NCT00748371,"John A Oates, M.D. | John Oates",Professor of Medicine and Pharmacology,Vanderbilt University
Q66104961,NCT00942617,"John A Oates, M.D. | John Oates",Professor of Medicine and Pharmacology,Vanderbilt University
Q66104961,NCT00761891,"John A Oates, MD | John Oates",Professor of Medicine and Pharmacology,Vanderbilt University
