NCTId,manual wikidata matches,pi_strings,pi_titles,pi_affiliations
NCT04305600,Q24238424,"E. Wesley Ely, MD | Wes Ely",Principal Investigator,VUMC
NCT00609245,Q30500440,"Dorothee Kasteleijn-Nolst Trenite, MD, PhD",,The Comprehensive Epilepsy Care Center for Children & Adults
NCT03394859,Q37383267,"Marc Williams, MD",,Geisinger Clinic
NCT03527472,Q47493038,"Leslie J Crofford, MD | Leslie Crofford",Professor of Medicine,Professor of Medicine - Rheumatology
NCT04140708,Q87888107,"Daniel Claassen, MD | Daniel Claassen",Associate Professor,Associate Professor
NCT03436290,Q88029228,"Myrick C Shinall, MD | Myrick C. Shinall, Jr., MD, PhD",Assistant Professor of Surgery,Assistant Professor
NCT04336995,Q88657567,"Ken Monahan, MD | Kenneth Monahan",Assistant Professor of Medicine,VUMC
NCT01074554,Q89619822,"Wonder P Drake, MD | Wonder Drake",Associate Professor of Medicine,Vanerbilt University School of Medicine
NCT00699244,Q90142656,"Clifford Bowens, M.D. | Clifford Bowens",Assistant Professor,clifford.bowens@vanderbilt.edu
NCT00730223,Q91133446,"David W Haas, MD | David Haas",Professor of Medicine,Associate Professor of Medicine
NCT00880906,Q91155233,"Michael F Vaezi, MD,PhD, MS epi | Michael Vaezi",Professor of Medicine,vanderbilt Universtiy Medical Center
NCT03314194,Q91272646,"Heidi J Silver, Ph.D. | Heidi J. Silver",Research Associate Professor of Medicine,Research Associate Professor
NCT00802191,Q91316983,"Thomas L Davis, MD | Thomas L Davis",MD,Department of Neurology/Movement Disorders
NCT03166761,Q91540491,Byron Schneider | Byron Schneider,Assistant Professor,Assistant professor
NCT03165825,Q91540491,Byron Schneider | Byron Schneider,Assistant Professor,Assistant professor
NCT03267381,Q91547894,"Rondi Kauffmann, MD | Rondi Kauffmann",Principal Investigator,vanderbilt Medical Center
NCT03113383,Q91548139,"Thomas C Naslund, MD | Thomas Naslund",Professor Vascular Surgery,"Chief, Division of Vascular Surgery"
NCT04290975,,"Aminu Taura, MBBS",,Aminu Kano Teaching Hospital
NCT03394859,,"Richard Gibbs, PhD",,Baylor College Medicine
NCT02006784,,"M. Virginia Pascual, MD",,Baylor Research Institute
NCT00632021,,"Jeffrey L. Schnipper, MD, MPH",,Brigham and Women's Hospital
NCT01791543,,"Usha Tedrow, M.D.",,Brigham and Women's Hospital
NCT00310401,,"Megan Landeck, RN, BSN, APC",,California Transplant Donor Network
NCT02209623,,"Karen R Broder, MD",,Centers for Disease Control and Prevention
NCT02006784,,"Theresa Harrington, MD",,Centers for Disease Control and Prevention
NCT03394859,,"John Harley, MD, PhD",,"Children's Hospital Medical Center, Cincinnati"
NCT03394859,,"Hakon Hakonarson, MD, PhD",,Children's Hospital of Philadelphia
NCT03394859,,"Chunhua Weng, PhD",,Columbia University
NCT02209623,,"Geeta K Swamy, MD",,Duke Medical Center
NCT01040897,,"Eliana Perrin, MD MPH",,Duke University
NCT04042467,,"Eliana Perrin, MD, MPH",,Duke University
NCT00715494,,"Helen Hoenig, MD, MPH",,"Duke University Medical Center, Durham VA Medical Center"
NCT00592865,,"Jeffrey Olson, MD",,Emory University
NCT01681914,,"Paula E Brentlinger, MD, MPH",,Friends in Global Health
NCT00592865,,"Kathleen M. Egan, DSc",,H. Lee Moffitt Cancer Center
NCT03394859,,"Elizabeth Karlson, MD",,Harvard University
NCT03928925,,"Brian E Driver, MD",,"Hennepin County Medical Center, Minneapolis"
NCT03928925,,"Matthew E Prekker, MD",,"Hennepin County Medical Center, Minneapolis"
NCT01655784,,"J D Mocco, MD, MS | JD Mocco",Adjunct Assoc Professor,Icahn School of Medicine at Mount Sinai
NCT03738774,,"Samuel M Brown, MD",,Intermountain Medical Center
NCT03394859,,"Gail Jarvik, MD, PhD",,Kaiser Permanente Washington with the University of Washington and the Fred Hutchinson Cancer Research Center
NCT00624234,,"Martha Bridge Denckla, M.D.",,"Kennedy Krieger Institute, Johns Hopkins University, Johns Hopkins University School of Medicine"
NCT00592865,,"Renato V. LaRocca, MD",,Kentuckiana Cancer Center
NCT03787732,,"David R Janz, MD, MSCI",,Louisiana State University Health Sciences Center in New Orleans
NCT00237718,,"Jonathan Himmelfarb, MD",,Maine Medical Center
NCT03394859,,"Scott Hebbring, PhD",,Marshfield Clinic
NCT03394859,,"Iftikhar Kullo, MD",,Mayo Clinic
NCT01998399,,"Jon D Truwit, MD",,Medical College of Wisconsin
