string,material,material1,material2,medium,surface
,"['', '', '', '']",,,,
4-color offset photolithograph on Hahnemühle-Bütten board,"['', '', '4-color offset photolithograph', 'Hahnemühle-Bütten board']",,,4-color offset photolithograph,Hahnemühle-Bütten board
Acrylic on birchwood,"['', '', 'Acrylic', 'birchwood']",,,Acrylic,birchwood
Acrylic on board,"['', '', 'Acrylic', 'board']",,,Acrylic,board
Acrylic on canvas,"['', '', 'Acrylic', 'canvas']",,,Acrylic,canvas
Acrylic on paper,"['', '', 'Acrylic', 'paper']",,,Acrylic,paper
Acrylic on wood and ceramic,"['', '', 'Acrylic', 'wood and ceramic']",,,Acrylic,wood and ceramic
"Acrylic, fire wax, variegated brass leaf on stainless steel","['', '', 'Acrylic, fire wax, variegated brass leaf', 'stainless steel']",,,"Acrylic, fire wax, variegated brass leaf",stainless steel
Agate,"['Agate', '', '', '']",Agate,,,
Alabaster,"['Alabaster', '', '', '']",Alabaster,,,
Alabaster marble with traces of red pigment and gold leaf,"['Alabaster marble with traces of red pigment', 'gold leaf', '', '']",Alabaster marble with traces of red pigment,gold leaf,,
Aluminum,"['Aluminum', '', '', '']",Aluminum,,,
Amber,"['Amber', '', '', '']",Amber,,,
Aquatint,"['Aquatint', '', '', '']",Aquatint,,,
"Aquatint, sugar-lift, and one color screen print","['Aquatint, sugar-lift,', 'one color screen print', '', '']","Aquatint, sugar-lift,",one color screen print,,
Archival Pigment Print,"['', '', '', '']",,,,
"Archival Pigment print, analog Tri-X film","['', '', '', '']",,,,
Archival carbon black pigment inkjet print on Hahnemühle Photo Rag Paper,"['', '', 'Archival carbon black pigment inkjet print', 'Hahnemühle Photo Rag Paper']",,,Archival carbon black pigment inkjet print,Hahnemühle Photo Rag Paper
Archival inkjet print,"['', '', '', '']",,,,
Archival pigment print,"['', '', '', '']",,,,
"Archival pigment print, Epson Ultra Chrome K3 Inkset, printed on Simply Elegant silk fiber paper","['', '', 'Archival pigment print, Epson Ultra Chrome K3 Inkset, printed', 'Simply Elegant silk fiber paper']",,,"Archival pigment print, Epson Ultra Chrome K3 Inkset, printed",Simply Elegant silk fiber paper
"Archival pigment print, Leica S, digital","['', '', '', '']",,,,
"Archival pigment print, Sony, digital","['', '', '', '']",,,,
"Archival pigment print, digital 35mm","['', '', '', '']",,,,
"Archival pigment print, printed later; analog Tri-X film","['', '', '', '']",,,,
Archival pigmented ink jet print,"['', '', '', '']",,,,
Arita ware,"['', '', '', '']",,,,
Artist's book,"['', '', '', '']",,,,
Artist's book containing 25 lithographs,"['', '', '', '']",,,,
"Artist's book, offset-lithography","['', '', '', '']",,,,
"Artist's book, offset-lithography and rubberstamp","[""Artist's book, offset-lithography"", 'rubberstamp', '', '']","Artist's book, offset-lithography",rubberstamp,,
Bamboo,"['Bamboo', '', '', '']",Bamboo,,,
Bamboo and ivory,"['Bamboo', 'ivory', '', '']",Bamboo,ivory,,
Bamboo and string on a wood base,"['', '', 'Bamboo and string', 'a wood base']",,,Bamboo and string,a wood base
Barium and lead-based glass,"['Barium', 'lead-based glass', '', '']",Barium,lead-based glass,,
Beaded mask,"['', '', '', '']",,,,
Beads and string,"['Beads', 'string', '', '']",Beads,string,,
"Beads, string","['', '', '', '']",,,,
Bingata dye-work on cloth,"['', '', 'Bingata dye-work', 'cloth']",,,Bingata dye-work,cloth
Bisque,"['Bisque', '', '', '']",Bisque,,,
Bisque ware,"['', '', '', '']",,,,
Bisque with crackle glaze,"['', '', '', '']",,,,
Black and white chalk on paper,"['', '', 'Black and white chalk', 'paper']",,,Black and white chalk,paper
"Black lacquered wood, agate, wood, ivory","['', '', '', '']",,,,
Blackened steel inlaid with gold and silver,"['Blackened steel inlaid with gold', 'silver', '', '']",Blackened steel inlaid with gold,silver,,
Blue ink on paper,"['', '', 'Blue ink', 'paper']",,,Blue ink,paper
Bone,"['Bone', '', '', '']",Bone,,,
Bone and leather,"['Bone', 'leather', '', '']",Bone,leather,,
Bone and wood,"['Bone', 'wood', '', '']",Bone,wood,,
"Bone, ceramic, wood","['', '', '', '']",,,,
Book,"['Book', '', '', '']",Book,,,
Book with original lithograph (inserted into book),"['', '', '', '']",,,,
Book with original lithographs and mobile,"['Book with original lithographs', 'mobile', '', '']",Book with original lithographs,mobile,,
Book with two wood-engravings,"['', '', '', '']",,,,
"Book, Unlimited Edition","['', '', '', '']",,,,
"Book, with drawing (part of inscription)","['', '', '', '']",,,,
"Book, with lithographs","['', '', '', '']",,,,
"Book, with original color pen drawing (part of the inscription)","['', '', '', '']",,,,
"Book, with original color pen drawing from Hinterreiter (part of inscription)","['', '', '', '']",,,,
"Book, with original pen drawing (part of inscription)","['', '', '', '']",,,,
Brass,"['Brass', '', '', '']",Brass,,,
Brass - and emerald?,"['Brass -', 'emerald?', '', '']",Brass -,emerald?,,
Bronze,"['Bronze', '', '', '']",Bronze,,,
Bronze and mother of pearl,"['Bronze', 'mother of pearl', '', '']",Bronze,mother of pearl,,
Bronze medallion,"['', '', '', '']",,,,
Bronze with gold plating,"['', '', '', '']",,,,
Bronze with malachite,"['', '', '', '']",,,,
Bronze with skin drum head,"['', '', '', '']",,,,
Bronze with wood handle,"['', '', '', '']",,,,
Bronze with wooden stand,"['', '', '', '']",,,,
"Bronze, ceramic","['', '', '', '']",,,,
"Bronze, partially gilded with marble base","['', '', '', '']",,,,
"Bronze, semi-precious stones","['', '', '', '']",,,,
"Bronze, wood","['', '', '', '']",,,,
Brush and chinese ink on paper,"['', '', 'Brush and chinese ink', 'paper']",,,Brush and chinese ink,paper
Buff-red earthenware painted black and red,"['Buff-red earthenware painted black', 'red', '', '']",Buff-red earthenware painted black,red,,
"Calcite, pyrite, rust, razor blade, blue grass, paint, paper, and ink on card","['', '', 'Calcite, pyrite, rust, razor blade, blue grass, paint, paper, and ink', 'card']",,,"Calcite, pyrite, rust, razor blade, blue grass, paint, paper, and ink",card
"Carribou skin, animal fur","['', '', '', '']",,,,
Carved wood with marble top,"['', '', '', '']",,,,
Cast,"['Cast', '', '', '']",Cast,,,
Cast brass,"['', '', '', '']",,,,
Cast bronze,"['', '', '', '']",,,,
Ceramic,"['Ceramic', '', '', '']",Ceramic,,,
Ceramic and stone,"['Ceramic', 'stone', '', '']",Ceramic,stone,,
Ceramic with glaze and wood,"['Ceramic with glaze', 'wood', '', '']",Ceramic with glaze,wood,,
Chalcedony,"['Chalcedony', '', '', '']",Chalcedony,,,
Chalk on paper,"['', '', 'Chalk', 'paper']",,,Chalk,paper
Charcoal on laid paper,"['', '', 'Charcoal', 'laid paper']",,,Charcoal,laid paper
Charcoal on paper,"['', '', 'Charcoal', 'paper']",,,Charcoal,paper
Chiaroscuro woodcut,"['', '', '', '']",,,,
Chiaroscuro woodcut on laid paper,"['', '', 'Chiaroscuro woodcut', 'laid paper']",,,Chiaroscuro woodcut,laid paper
Chiaroscuro woodcut on wove paper,"['', '', 'Chiaroscuro woodcut', 'wove paper']",,,Chiaroscuro woodcut,wove paper
Chiaroscuro woodcut on wove paper (mounted on laid paper),"['', '', 'Chiaroscuro woodcut', 'wove paper (mounted']",,,Chiaroscuro woodcut,wove paper (mounted
Chiaroscuro woodcut on wove paper mounted on laid paper,"['', '', 'Chiaroscuro woodcut', 'wove paper mounted']",,,Chiaroscuro woodcut,wove paper mounted
Chromogenic development print,"['', '', '', '']",,,,
Chromogenic print,"['', '', '', '']",,,,
Chromolithgraph,"['Chromolithgraph', '', '', '']",Chromolithgraph,,,
Chromolithograph,"['Chromolithograph', '', '', '']",Chromolithograph,,,
Cibachrome print,"['', '', '', '']",,,,
Cinnabar,"['Cinnabar', '', '', '']",Cinnabar,,,
Clay,"['Clay', '', '', '']",Clay,,,
