accession_number,score,rel_left_x,rel_right_x,rel_top_y,rel_bottom_y,abs_left_x,abs_right_x,abs_top_y,abs_bottom_y,roll_angle,pan_angle,tilt_angle,"landmarking, confidence",joy_likelihood,sorrow_likelihood,anger_likelihood,surprise_likelihood,under_exposed_likelihood,blurred_likelihood,headwear_likelihood,landmarking_confidence
1957.007,0.76171875,0.409,0.605,0.1111111111111111,0.2842025699168556,409,605,147,376,3.3720171,-25.954563,3.6186516,,1,1,1,1,1,1,1,0.21372381
1957.039,0.62109375,0.2070063694267516,0.37579617834394907,0.25287356321839083,0.3931034482758621,65,118,110,171,43.32286,48.81286,-27.699556,,1,1,1,1,1,1,1,0.011037834
1965.007,0.82421875,0.271,0.797,0.08439490445859872,0.570859872611465,271,797,106,717,-6.1123986,42.1131,-2.4444685,,1,1,1,1,1,1,1,0.30462363
1965.013,0.53125,0.221,0.705,0.07220708446866485,0.4550408719346049,221,705,106,668,-4.1176085,31.097757,-0.036951758,,1,1,1,1,1,1,1,0.086767145
1965.020,0.62890625,0.4609120521172638,0.5439739413680782,0.21621621621621623,0.33433433433433435,566,668,216,334,0.06857396,-5.9185057,-14.818954,,1,1,1,1,1,1,1,0.08829864
1965.022,0.62109375,0.2982982982982983,0.6906906906906907,0.14756671899529042,0.5054945054945055,298,690,188,644,-17.241432,-19.370756,-1.8226873,,3,1,1,1,1,1,1,0.11509809
1970.007,0.7109375,0.422,0.618,0.09298085688240657,0.300820419325433,422,618,102,330,3.068858,13.238203,-2.291089,,1,1,1,1,1,1,1,0.48362032
1970.016,0.62109375,0.48403122782114977,0.5479063165365508,0.2802802802802803,0.38538538538538536,682,772,280,385,8.106417,-57.799427,7.7765136,,1,1,1,1,1,1,2,0.21706608
1971.001,0.98046875,0.24424424424424424,0.6876876876876877,0.0651085141903172,0.494991652754591,244,687,78,593,-0.60233134,0.23637694,-2.5246086,,1,1,1,1,1,1,1,0.7448891
1971.021,0.54296875,0.544,0.658,0.28405422853453843,0.36927049709489995,544,658,440,572,-5.2085266,-16.27281,-5.887248,,1,1,1,1,1,1,3,0.6052551
1971.025,0.7890625,0.413,0.627,0.28428927680798005,0.4912718204488778,413,627,342,591,-0.750497,-16.549173,-5.739135,,1,1,1,1,1,1,1,0.5654289
