image_filename,mid,description,score,topicality
1979.1140P.tif.jpg,/m/047vlmn,Outerwear,0.9522831,0.9522831
1979.1140P.tif.jpg,/m/062581,Sleeve,0.8724492,0.8724492
1979.1140P.tif.jpg,/m/01n5jq,Poster,0.82310665,0.82310665
1979.1140P.tif.jpg,/m/0jjw,Art,0.7093869,0.7093869
1979.1140P.tif.jpg,/m/011s0,Advertising,0.7002993,0.7002993
1979.1140P.tif.jpg,/m/0bt_c3,Book,0.7000526,0.7000526
1979.1140P.tif.jpg,/m/01kr8f,Illustration,0.69645387,0.69645387
1979.1140P.tif.jpg,/m/08v4gh,Vintage clothing,0.69622165,0.69622165
1979.1140P.tif.jpg,/m/02w3_2,Formal wear,0.6948315,0.6948315
1979.1140P.tif.jpg,/m/03tvvb,Overcoat,0.68086326,0.68086326
