qid,label
Q95149,HarperCollins
Q524154,Eugène Grasset
Q443253,Prentice Hall
Q880582,Taylor & Francis
Q35339,WWE
Q349566,Hachette
Q186225,Mercure de France
Q85355,Arnoldo Mondadori Editore
Q80265,Éditions Julliard
Q122669,Vertigo
Q131566,Institute of Electrical and Electronics Engineers
Q82708,Church of England
Q1543201,TSR
Q2077283,Gale
Q1251563,Doubleday
Q1305980,Giulio Einaudi editions
Q1155729,Scholastic Corporation
Q1065024,Hearst Communications
Q1395850,Fantagraphics Books
Q1065097,O’Reilly Media
Q2865431,Arthus-Bertrand
Q2965383,Christian Lacour
Q2934320,Calmann-Lévy
Q2696397,Éditions Robert Laffont
Q3087181,Frederick Warne & Co
Q3579221,Editions Anne Carrière
Q2777746,Fayard
Q3488707,Société typographique de Neuchâtel
Q2485022,Éditions Denoël
Q1753313,Norstedts Förlag
Q921536,Viking Press
Q2190366,Éditions Albin Michel
Q217595,Oxford University Press
Q294317,AK Press
Q4147766,Aleksandr Naumovich Granat
Q5061737,The Great Russian Encyclopedia
Q7206385,Pocket Books
Q7632210,Subterranean Press
Q8195536,Alianza Editorial
Q5233633,David Fickling Book
Q8007001,"William Collins, Sons"
Q6801272,McGill-Queen's University Press
Q3579376,Karthala
Q6724738,Macmillan Inc.
Q5332296,Ecco Press
Q5817914,Ediciones Sinsentido
Q7193734,Romm publishing house
Q2985241,Comité 21
Q4401058,Russian Entomological Society
Q3519353,Texas State Historical Association
Q2928358,United States Government Publishing Office
Q7352515,Standaard Uitgeverij
Q1873203,Luchterhand Fachverlag
Q2308858,Spektrum-Verlag
Q2497675,De Zilverdistel
Q1631876,Rotbuch Verlag
Q2152124,Hoffmann und Campe
Q188273,Ubisoft
Q176916,Springer Science+Business Media
Q2100540,"Ward, Lock & Co"
Q3431800,Edward Blount
Q2522363,Victor Gollancz Ltd
Q2122662,Quelle & Meyer
Q2647037,Tor Books
Q3197573,Kitchen Sink Press
Q3067003,"Farrar, Straus and Giroux"
Q2484897,United States Institute of Peace
Q3560313,Vintage Books
Q2830980,Albert Bonniers Förlag
Q3298537,Mathew Carey
Q3042717,Gomer Press
Q2562301,Del Rey Books
Q552959,"Little, Brown and Company"
Q845617,Charles Scribner's Sons
Q912887,Cambridge University Press
Q156591,Yad Vashem
Q3127696,Harper
Q4139160,Glavnoe upravlenīe po di︠e︡lam pechati
Q2843522,Finnish Literature Society
Q3847420,USB Implementers Forum
Q3392522,Plon
Q3719249,Editori Riuniti
Q185246,Uppsala University
Q12565,Universal Esperanto Association
Q73820,The MIT Press
Q1564874,Luchterhand
Q4875979,Beacon Press
Q98045184,Émile-Paul Frères
Q55233,Hachette Books
Q5677798,Harvill Secker
Q17517389,Paul Ollendorff
Q21001293,Charpentier
Q20631339,Éditions du Léopard Masqué
Q10855553,Argo Publishing
Q26722421,Nicolo Benedetti
Q19720456,Librairie universelle
Q3579383,L'Harmattan
Q3579246,Éditions Belin
Q18957857,Lacour-Ollé
Q26722424,Jacobino Suigo de Sancto Germano
Q63350569,Guilde du Livre
Q358635,Lodewijk Elzevir
Q1402952,Frederik de Wit
Q257086,sine nomine
Q353396,production engineering
Q296327,Brewster
Q536795,Ace Books
Q1019662,Böhlau Verlag
Q896783,Carl Hanser Verlag
Q16638858,Georg
Q3594127,Œuvre d'Orient
Q14512770,Van Holkema & Warendorf
Q7858797,TwoMorrows Publishing
Q8013416,William Jaggard
Q25056785,F.A. Brockhaus AG
Q5375692,Encyclopedia of China Publishing House
Q15077094,J. B. Lippincott & Co.
Q7852902,Tundra Publishing
Q106675839,Timbro förlag
Q301609,Suhrkamp Verlag
Q671725,Jan Otto
Q751779,Astronomical Society of the Pacific
Q733801,Garnier Frères
Q712646,Artikel 19 Verlag
Q762392,Steve Jackson Games
Q905549,Royal Society of Chemistry
Q285186,Kriterion Press
Q464633,Bibliographisches Institut & F. A. Brockhaus
Q273819,Éditions Gallimard
Q316626,Duncker & Humblot
Q479079,Ab Ovo
Q552619,Pierre-Jules Hetzel
Q744182,Random House
Q324876,Steidl
Q324303,K. G. Saur Verlag
