date,Q4924165,Q45135243,Q79117884,Q16849893,Q79117861,Q14710143,Q7157226,Q79117914,Q55453544,Q79117759,Q79117786,Q79117444,Q89951871,Q79117746,Q79117753,Q89953896,Q78041310,Q84268104,Q89953900,Q89953905,Q89953909,Q89953912,Q84269864,Q45132727,Q79117767,Q84270575,Q79117777,Q79117795,Q89953915,Q84270595,Q79117803,Q79117810,Q84270584,Q89953919,Q79117817,Q79117832,Q79117839,Q89953922,Q89953926,Q79117847,Q79117855,Q79117869,Q79117878,Q84270590,Q89953931,Q89953935,Q89953940,Q89953944,Q89953947,Q89953948,Q89953951,Q89953955,Q89953958,Q89953964,Q89953971,Q89953976,Q89953981,Q79117891,Q89953984,Q78779260,Q89953990,Q79117899,Q89953993,Q79117907,Q89953999,Q89954005,Q79117923,Q79117930,Q79117938,Q89954010,Q79117944,Q89954015,Q89954019,Q79117951,Q84270721,Q79117827,Q83549841,Q83550305,Q83550311,Q83550317,Q83550321,Q79117740,Q7914451,Q7914452,Q7914453,Q7914456,Q7914459,Q7914466,Q7914461
2020-05-05,2,0,4,1,4,11,0,1,0,2,6,2,52,7,0,27,29,35,19,26,2,17,14,26,2,10,2,2,2,0,16,7,28,6,2,3,1,15,8,4,0,0,10,10,240,25,6,22,13,10,0,11,12,40,0,78,24,7,5,21,0,8,18,19,0,31,4,12,3,24,0,3,6,16,19,5,9,5,9,3,13,6,0,2,0,13,0,3,0
2020-05-06,2,0,4,1,4,11,0,1,0,2,6,2,52,7,0,27,29,35,19,26,2,17,14,26,2,10,2,2,2,0,16,7,28,6,2,3,1,15,8,4,0,0,10,10,240,25,6,22,13,10,0,11,12,40,0,78,24,7,5,21,0,8,18,19,0,31,4,12,3,24,0,3,6,16,19,5,9,5,9,3,13,6,0,2,0,13,0,3,0
2020-05-07,2,0,4,1,4,11,0,1,0,2,6,2,52,7,0,27,29,35,19,26,2,17,14,27,2,10,2,2,2,0,16,7,28,6,2,3,1,15,8,4,0,0,10,10,240,25,6,22,13,10,0,11,12,40,0,78,25,7,5,21,0,8,18,19,0,31,4,12,3,24,0,3,6,16,19,5,9,5,9,3,13,6,0,2,0,13,0,3,0
2020-05-08,2,0,4,1,4,11,0,1,0,2,6,2,52,7,0,27,29,36,19,26,2,17,14,27,2,10,2,2,2,0,16,7,28,6,2,3,1,15,8,4,0,0,10,10,240,25,6,22,13,10,0,11,12,40,0,79,25,7,5,21,0,8,18,19,0,31,4,12,3,24,0,3,6,16,19,5,9,5,9,3,13,6,0,2,0,13,0,6,0
2020-05-09,2,0,4,1,4,11,0,1,0,2,6,2,52,7,0,27,29,36,19,26,2,18,14,27,2,10,2,2,2,0,16,7,28,6,2,3,1,15,8,4,0,0,10,10,240,25,6,22,13,10,0,11,12,40,0,79,25,7,5,21,0,8,18,19,0,31,4,12,3,24,0,3,6,16,19,5,9,5,9,3,13,6,0,2,0,13,0,6,0
2020-05-10,2,0,4,1,4,11,0,1,0,2,6,2,52,7,0,27,30,36,19,26,2,18,14,27,2,10,2,2,2,0,16,7,28,6,2,3,1,15,8,4,0,0,10,10,240,25,6,22,13,10,0,11,12,40,0,79,25,7,5,21,0,8,18,19,0,31,4,12,3,24,0,3,6,16,19,5,9,5,9,3,13,6,0,2,0,13,0,6,0
2020-05-11,2,0,4,1,4,11,0,1,0,2,6,2,52,7,0,27,30,36,19,26,2,18,14,27,2,10,2,2,2,0,16,7,28,6,2,3,1,15,8,4,0,0,10,10,240,25,6,22,13,10,0,11,12,40,0,79,25,7,5,21,0,8,18,19,0,31,4,12,3,24,0,3,6,16,19,5,9,5,9,3,13,6,0,2,0,13,0,6,0
2020-05-12,2,0,4,1,4,11,0,1,0,2,6,2,52,7,0,27,30,36,19,26,2,18,14,27,2,10,2,2,2,0,16,7,28,6,2,3,1,15,8,4,0,0,10,10,240,25,6,22,13,10,0,11,12,40,0,79,25,7,5,21,0,8,18,19,0,31,4,12,3,24,0,3,6,16,19,5,9,5,9,3,13,6,0,2,0,13,0,6,0
2020-05-13,2,0,4,1,4,11,0,1,0,2,6,2,52,7,0,27,30,36,19,26,2,18,14,27,2,10,2,2,2,0,16,7,28,6,2,3,1,15,8,4,0,0,10,10,241,25,6,22,13,10,0,11,12,40,0,79,25,7,5,21,0,8,18,19,0,31,4,12,3,24,0,3,6,16,19,5,9,5,9,3,13,6,0,2,0,13,0,7,0
2020-05-14,2,0,4,1,4,11,0,1,0,2,6,2,52,7,0,27,30,36,19,26,2,18,14,27,2,10,2,2,2,0,16,7,28,6,2,3,1,15,8,4,0,0,10,10,241,25,6,22,13,10,0,11,12,40,0,79,25,7,5,21,0,8,18,19,0,31,4,12,3,24,0,3,6,16,19,5,9,5,9,3,13,6,0,2,0,13,0,7,0
2020-05-15,2,0,4,1,4,11,0,1,0,2,6,2,52,7,0,28,30,36,19,26,2,18,14,27,2,10,2,2,2,0,16,7,28,6,2,3,1,15,8,4,0,0,10,10,241,25,6,22,13,10,0,11,12,40,0,79,25,7,5,21,0,8,18,19,0,31,4,12,3,24,0,3,6,16,19,5,9,5,9,3,13,6,0,2,0,13,0,7,0
2020-05-16,2,0,4,1,4,11,0,1,0,2,6,2,52,7,0,28,30,36,19,26,2,18,14,27,2,10,2,2,2,0,16,7,28,6,2,3,1,15,8,4,0,0,10,10,241,25,6,22,13,10,0,11,12,40,0,79,25,7,5,21,0,8,18,19,0,31,4,12,3,24,0,3,6,16,19,5,9,5,9,3,13,6,0,2,0,13,0,7,0
2020-05-17,2,0,4,1,4,11,0,1,0,2,6,2,52,7,0,28,30,36,19,26,2,18,14,27,2,10,2,2,2,0,16,7,28,6,2,3,1,15,8,4,0,0,10,10,241,25,6,22,13,10,0,11,12,40,0,79,25,7,5,21,0,8,18,19,0,31,4,12,3,24,0,3,6,16,19,5,9,5,9,3,13,6,0,2,0,13,0,7,0
