date,Q4924165,Q45135243,Q79117884,Q16849893,Q79117861,Q14710143,Q7157226,Q79117914,Q55453544,Q79117759,Q79117786,Q79117444,Q89951871,Q79117746,Q79117753,Q89953896,Q78041310,Q84268104,Q89953900,Q89953905,Q89953909,Q89953912,Q84269864,Q45132727,Q79117767,Q84270575,Q79117777,Q79117795,Q89953915,Q84270595,Q79117803,Q79117810,Q84270584,Q89953919,Q79117817,Q79117832,Q79117839,Q89953922,Q89953926,Q79117847,Q79117855,Q79117869,Q79117878,Q84270590,Q89953931,Q89953935,Q89953940,Q89953944,Q89953947,Q89953948,Q89953951,Q89953955,Q89953958,Q89953964,Q89953971,Q89953976,Q89953981,Q79117891,Q89953984,Q78779260,Q89953990,Q79117899,Q89953993,Q79117907,Q89953999,Q89954005,Q79117923,Q79117930,Q79117938,Q89954010,Q79117944,Q89954015,Q89954019,Q79117951,Q84270721,Q79117827,Q83549841,Q83550305,Q83550311,Q83550317,Q83550321,Q79117740,Q7914451,Q7914452,Q7914453,Q7914456,Q7914459,Q7914466,Q7914461
2020-05-05,0,0,89,23,19,8,0,0,0,0,5,15,463,71,0,303,488,610,186,312,41,116,155,952,0,73,9,0,0,0,99,0,331,252,1,0,23,80,65,27,5,0,17,80,2862,405,122,79,15,59,0,134,55,569,0,813,696,0,38,435,0,14,47,677,0,206,40,85,0,188,0,0,563,74,200,25,14,1,48,4,1,62,0,64,0,12,0,0,0
2020-05-06,0,0,89,23,19,8,0,0,0,0,5,17,464,71,0,304,488,612,187,314,41,116,156,954,0,73,9,0,0,0,99,0,331,253,1,0,23,80,65,27,5,0,17,80,2864,406,122,79,15,59,0,134,55,569,0,814,696,0,38,435,0,15,47,677,0,208,42,86,0,188,0,0,564,74,201,25,14,1,48,4,1,63,0,66,0,12,0,137,0
2020-05-07,0,0,89,23,19,12,0,0,0,0,5,18,464,75,0,304,488,612,187,314,41,116,156,954,0,73,9,0,0,0,99,0,331,253,1,0,23,80,65,27,5,0,17,80,2865,406,122,79,15,59,0,134,55,569,0,814,696,0,38,435,0,15,47,677,0,208,46,89,0,188,0,0,564,74,201,25,14,1,48,4,1,67,0,70,0,12,0,137,0
2020-05-08,0,0,89,23,19,12,0,0,0,0,5,21,464,75,0,306,488,641,187,314,41,116,156,953,0,73,9,0,0,0,99,0,331,253,1,0,23,80,65,28,5,0,17,80,2866,406,122,79,15,59,0,134,55,569,0,843,696,0,38,435,0,17,47,677,0,208,49,91,0,188,0,0,564,74,201,25,14,1,48,4,1,69,0,74,0,12,0,166,0
2020-05-09,0,0,89,23,19,12,0,0,0,0,5,23,464,75,0,306,488,640,187,314,41,203,156,995,0,73,9,0,0,0,99,0,331,253,1,0,23,80,70,28,5,0,17,80,2910,406,122,79,15,59,0,134,55,569,0,843,737,0,38,435,0,17,47,677,0,208,51,94,0,188,0,0,564,74,201,25,14,1,48,4,1,70,0,76,0,12,0,166,0
2020-05-10,0,0,89,23,19,12,0,0,0,0,5,23,464,75,0,306,488,642,187,314,41,203,156,995,0,73,9,0,0,0,99,0,331,253,1,0,23,80,70,28,5,0,17,80,2911,406,122,79,15,59,0,134,55,569,0,846,737,0,38,435,0,17,47,677,0,208,51,94,0,188,0,0,564,74,201,25,14,1,48,4,1,70,0,76,0,12,0,168,0
2020-05-11,0,0,89,23,19,12,0,0,0,0,5,23,464,75,0,306,492,642,187,314,41,205,156,995,0,73,9,0,0,0,99,0,331,254,1,0,23,80,70,28,5,0,17,80,2911,406,122,79,15,59,0,135,55,569,0,846,737,0,38,435,0,17,47,677,0,208,51,94,0,188,0,0,564,74,201,25,14,1,48,4,1,70,0,76,0,12,0,168,0
2020-05-12,0,0,89,23,19,12,0,0,0,0,5,25,464,77,0,388,492,642,187,315,41,205,156,1077,0,73,11,0,0,0,99,0,331,254,1,0,23,80,71,28,5,0,17,80,2913,265,122,79,15,59,0,135,55,569,0,846,739,0,38,435,0,17,47,677,0,208,53,94,0,188,0,0,564,74,201,25,14,1,48,4,1,70,0,78,0,12,0,168,0
2020-05-13,0,0,89,23,19,12,0,0,0,0,5,29,464,77,0,388,568,642,187,315,41,205,156,1077,0,73,11,0,0,0,99,0,331,255,1,0,23,80,71,28,5,0,17,80,2922,305,122,79,15,59,0,135,55,569,0,848,739,0,38,435,0,17,47,677,0,208,57,94,0,188,0,0,564,74,201,25,14,1,48,4,1,70,0,82,0,12,0,269,0
2020-05-14,0,0,89,23,19,12,0,0,0,0,5,29,465,77,0,389,568,643,187,315,41,205,156,1077,0,73,11,0,0,0,99,0,331,255,1,0,23,80,71,28,5,0,17,80,2925,305,122,79,15,59,0,135,55,569,0,848,739,0,38,435,0,17,47,677,0,208,57,97,0,188,0,0,564,74,201,25,14,1,48,4,1,73,0,82,0,12,0,270,0
2020-05-15,0,0,89,23,19,12,0,0,0,0,5,29,466,77,0,390,568,643,187,315,41,205,156,1077,0,73,11,0,0,0,99,0,331,257,1,0,23,80,73,28,5,0,17,80,2928,305,122,80,15,59,0,135,55,569,0,848,739,0,38,435,0,17,47,677,0,208,57,97,0,188,0,0,564,74,201,25,14,1,48,4,1,73,0,82,0,12,0,272,0
2020-05-16,0,0,88,23,20,12,0,0,0,0,5,29,466,77,0,391,570,644,187,316,41,207,156,1077,0,73,12,0,0,0,99,0,331,257,1,0,23,81,73,29,5,0,17,80,2937,408,122,81,15,59,0,135,56,573,0,851,739,0,38,435,0,17,47,677,0,209,57,97,0,189,0,0,564,74,201,25,14,1,48,4,1,73,0,82,0,12,0,272,0
2020-05-17,0,0,88,23,20,12,0,0,0,0,5,29,466,77,0,391,569,644,187,316,41,207,156,1078,0,73,12,0,0,0,99,0,331,257,1,0,23,81,73,29,5,0,17,80,2939,408,122,81,15,59,0,135,56,573,0,852,739,0,38,435,0,17,47,678,0,209,57,97,0,189,0,0,564,74,201,25,14,1,48,4,1,73,0,82,0,12,0,272,0
