date,vu_total,vu_men,vu_women,vu_orcid,vu_works,vu_men_works,vu_women_works
2020-05-05,4439,2607,1819,1024,14669,11427,4070
2020-05-06,4439,2607,1819,1024,14690,11444,4073
2020-05-07,4439,2607,1819,1025,14701,11456,4072
2020-05-08,4439,2607,1819,1026,14959,11481,4318
2020-05-09,4439,2607,1819,1027,15182,11655,4375
2020-05-10,4439,2607,1819,1028,15187,11658,4377
2020-05-11,4439,2607,1819,1028,15198,11666,4380
2020-05-12,4439,2607,1819,1028,15339,11614,4575
2020-05-13,4439,2607,1819,1029,15471,11737,4586
2020-05-14,4439,2607,1819,1029,15488,11746,4593
2020-05-15,4439,2607,1819,1030,15498,11757,4591
2020-05-16,4439,2607,1819,1030,15630,11882,4602
2020-05-17,4439,2607,1819,1030,15634,11885,4604
2020-05-18,4439,2607,1819,1030,15664,11915,4606
2020-05-19,4440,2607,1819,1030,15694,11918,4632
2020-05-20,4440,2607,1819,1031,15863,11939,4800
2020-05-21,4440,2607,1819,1031,16087,12033,4942
2020-05-22,4440,2607,1819,1031,16215,12190,4944
2020-05-23,4441,2607,1819,1032,16219,12194,4944
2020-05-24,4441,2607,1819,1032,16219,12194,4944
2020-05-25,4441,2607,1819,1032,16235,12207,4947
2020-05-26,4441,2607,1819,1032,16248,12220,4947
2020-05-27,4442,2607,1819,1032,16277,12246,4950
2020-05-28,4442,2607,1819,1033,16445,12397,4981
2020-05-29,4442,2607,1819,1033,16498,12451,4986
2020-05-30,4442,2607,1819,1034,16638,12454,5127
2020-05-31,4442,2607,1819,1034,16638,12454,5127
2020-06-01,4442,2607,1819,1034,16693,12495,5143
2020-06-02,4442,2607,1819,1035,16760,12543,5165
2020-06-03,4443,2607,1819,1035,16817,12593,5176
2020-06-04,4443,2607,1819,1035,17048,12766,5247
2020-06-05,4443,2607,1819,1036,17166,12817,5329
2020-06-06,4443,2607,1819,1036,17278,12912,5351
2020-06-07,4443,2607,1819,1037,17332,12944,5373
2020-06-08,4443,2607,1819,1037,17388,12985,5390
2020-06-09,4443,2607,1819,1037,17435,13023,5400
2020-06-10,4443,2607,1819,1037,17474,13052,5411
2020-06-11,4443,2607,1819,1037,17540,13104,5428
2020-06-12,4444,2608,1819,1037,17603,13150,5447
2020-06-13,4444,2608,1819,1037,17662,13198,5456
2020-06-14,4444,2608,1819,1037,17721,13251,5464
2020-06-15,4444,2608,1819,1037,17747,13276,5465
2020-06-16,4444,2608,1819,1037,17760,13285,5469
2020-06-17,4444,2608,1819,1037,17801,13327,5469
2020-06-18,4444,2608,1819,1037,17807,13332,5470
2020-06-20,4445,2608,1819,1037,17894,13437,5473
2020-06-21,4445,2608,1819,1037,17896,13439,5473
2020-06-22,4445,2608,1819,1037,17896,13439,5473
2020-06-23,4445,2608,1819,1037,17902,13445,5473
2020-06-24,4445,2608,1819,1037,17949,13459,5511
2020-06-25,4445,2608,1819,1037,17975,13469,5527
2020-06-26,4446,2608,1819,1037,18105,13523,5620
2020-06-27,4449,2610,1819,1037,18145,13559,5624
2020-06-28,4449,2610,1819,1037,18150,13562,5626
2020-06-29,4449,2610,1819,1037,18156,13564,5631
2020-06-30,4449,2610,1819,1037,18156,13564,5631
2020-07-01,4451,2612,1819,1037,18160,13568,5631
2020-07-02,4451,2612,1819,1038,18179,13575,5643
2020-07-03,4451,2612,1819,1038,18203,13585,5657
2020-07-04,4451,2612,1819,1038,18204,13586,5657
2020-07-05,4448,2611,1818,1035,18223,13595,5671
2020-07-06,4448,2611,1818,1035,18223,13595,5671
