date,count
2020-05-05,1819
2020-05-06,1819
2020-05-07,1819
2020-05-08,1819
2020-05-09,1819
2020-05-10,1819
2020-05-11,1819
2020-05-12,1819
2020-05-13,1819
2020-05-14,1819
2020-05-15,1819
2020-05-16,1819
2020-05-17,1819
2020-05-18,1819
2020-05-19,1819
2020-05-20,1819
2020-05-21,1819
2020-05-22,1819
2020-05-23,1819
2020-05-24,1819
2020-05-25,1819
2020-05-26,1819
2020-05-27,1819
2020-05-28,1819
2020-05-29,1819
2020-05-30,1819
2020-05-31,1819
2020-06-01,1819
2020-06-02,1819
2020-06-03,1819
2020-06-04,1819
2020-06-05,1819
2020-06-06,1819
2020-06-07,1819
2020-06-08,1819
