wikidataId,name,labelEn,alias,description,parentUnitStatementUuid,parentUnit,parentUnitReferenceHash,parentUnitReferenceSourceUrl,parentUnitReferenceRetrieved,officialWebsiteStatementUuid,officialWebsite,officialWebsiteReferenceHash,officialWebsiteReferenceRetrieved,instanceOfStatementUuid,instanceOf,instanceOfReferenceHash,instanceOfReferenceSourceUrl,instanceOfReferenceRetrieved
Q79117444,African American and Diaspora Studies,Vanderbilt Department of African American and Diaspora Studies,"[""Vanderbilt African American and Diaspora Studies Department""]","department focused on interdisciplinary, cross-cultural, and comparative study of the lived experiences of Blacks dispersed throughout the world from the continent of Africa.",20C7EA65-627B-443D-8560-6799C8A1DB4B,Q7914451,76adac972e8317a41c03d42ab5a11f03aff84bc9,https://as.vanderbilt.edu/academics/departments/,+2019-12-18T00:00:00Z,D7ECD949-2CD7-4599-AD14-00C2F89DBAA0,https://as.vanderbilt.edu/aads/,3133e8400fdadccf0b8d10094908a5dc54dd690f,+2019-12-19T00:00:00Z,82FC8294-0639-4519-8AF8-5C288367D34C,Q2467461,3abd1fdebdd407d96ce52f04496f2e0d64b9158d,https://as.vanderbilt.edu/aads/,+2019-12-19T00:00:00Z
Q79117740,American Studies,Vanderbilt Program in American Studies,"[""Vanderbilt American Studies Department"", ""Vanderbilt Department of American Studies""]",interdisciplinary program fostering the in-depth study of American cultures from a variety of perspectives,3D1B01B8-D15A-4E00-A670-A849247FB15A,Q7914451,76adac972e8317a41c03d42ab5a11f03aff84bc9,https://as.vanderbilt.edu/academics/departments/,+2019-12-18T00:00:00Z,7B274083-65A7-4F6F-ABCB-FCDF61F09CB0,http://www.vanderbilt.edu/americanstudies,3133e8400fdadccf0b8d10094908a5dc54dd690f,+2019-12-19T00:00:00Z,D1DEF818-25B3-4577-9984-DD2AC51B3787,Q2467461,85a17d9a0a04a9ecf8693bde52682534bd30511e,http://www.vanderbilt.edu/americanstudies,+2019-12-19T00:00:00Z
Q79117746,Anthropology,Vanderbilt Department of Anthropology,"[""Vanderbilt Anthropology Department""]","department focused on a broadly-based study of humankind that draws its methods from both the sciences and humanities and includes the fields of cultural anthropology, archaeology, biological anthropology, and linguistics",0547AA18-8BB6-4D2D-97C6-41BE4A31FE8F,Q7914451,76adac972e8317a41c03d42ab5a11f03aff84bc9,https://as.vanderbilt.edu/academics/departments/,+2019-12-18T00:00:00Z,F05F5E80-C237-47E9-9110-D5BE0D81274B,https://as.vanderbilt.edu/anthropology,3133e8400fdadccf0b8d10094908a5dc54dd690f,+2019-12-19T00:00:00Z,1DD29F8D-2AF1-49C6-A416-14521B855340,Q2467461,423ec3b412b7559609a4cc8dfc5f07a18c7319b6,https://as.vanderbilt.edu/anthropology,+2019-12-19T00:00:00Z
Q79117753,Art,Vanderbilt Department of Art,"[""Vanderbilt Art Department""]",department presenting a curriculum that embraces a wide range of art methods and perspectives,C7C067C6-4BB9-4EE5-8289-4B55F3745950,Q7914451,76adac972e8317a41c03d42ab5a11f03aff84bc9,https://as.vanderbilt.edu/academics/departments/,+2019-12-18T00:00:00Z,17120081-D49A-455E-AF62-60A904DCF686,http://www.vanderbilt.edu/arts,3133e8400fdadccf0b8d10094908a5dc54dd690f,+2019-12-19T00:00:00Z,BF2A59E2-25FD-40D3-8258-8235DACCD6E4,Q2467461,62c295db55ad8b1f71dd42f9ca074d60893d4af0,http://www.vanderbilt.edu/arts,+2019-12-19T00:00:00Z
Q79117759,Asian Studies,Vanderbilt Asian Studies Program,"[""Vanderbilt Asian Studies Department"",""Vanderbilt Department of Asian Studies""]",center for the study of Asian languages and cultures,FD61403E-FC84-4D54-96EB-9CD9E7F4B3F4,Q7914451,76adac972e8317a41c03d42ab5a11f03aff84bc9,https://as.vanderbilt.edu/academics/departments/,+2019-12-18T00:00:00Z,848E3D39-EC43-405F-B5F7-61BCBC8AFE95,https://as.vanderbilt.edu/asianstudies,3133e8400fdadccf0b8d10094908a5dc54dd690f,+2019-12-19T00:00:00Z,FEED8447-E455-4088-8EF2-6C2843A79509,Q2467461,04e33ef3e00688ca57f964b9b56ac7780a685a99,https://as.vanderbilt.edu/asianstudies,+2019-12-19T00:00:00Z
Q78041310,Biological Sciences,Vanderbilt Department of Biological Sciences,"[""Vanderbilt Biological Sciences Department""]","academic department spanning Molecular and Cellular Biology, Biochemistry and Structural Biology, Genetics, Computational Biology, Evolutionary Biology, Ecology, Developmental Biology, and Neurobiology",94c5a2f4-4229-b967-8a4e-c566c5895181,Q7914451,76adac972e8317a41c03d42ab5a11f03aff84bc9,https://as.vanderbilt.edu/academics/departments/,+2019-12-18T00:00:00Z,89c8c94c-41a3-7d27-65f3-7b180863e8e2,https://as.vanderbilt.edu/biosci/,3133e8400fdadccf0b8d10094908a5dc54dd690f,+2019-12-19T00:00:00Z,314956bf-45b1-4f81-b1a3-a0a984c26986,Q2467461,,https://as.vanderbilt.edu/biosci/,+2019-12-19T00:00:00Z
Q45132727,Chemistry,Vanderbilt Department of Chemistry,"[""Department of Chemistry, Vanderbilt University"", ""Vanderbilt Chemistry Department""]","department with a particular emphasis on chemical biology, structural biology, molecular toxicology, materials chemistry, and nanotechnology",798371a9-4445-9a2e-b4e9-e851dd4688e1,Q7914451,01952e3a83d45f66c7253f6a5d6a8a96003f6b4b,https://as.vanderbilt.edu/academics/departments/,+2019-12-19T00:00:00Z,61590bbf-4fb8-168e-778b-dd5f9a558987,https://www.vanderbilt.edu/chemistry/,3133e8400fdadccf0b8d10094908a5dc54dd690f,+2019-12-19T00:00:00Z,cad1ce62-4c19-990c-694c-d79a1c75469c,Q2467461,5b05fc6a275586e2ad9a739f7628a392aec3189e,https://www.vanderbilt.edu/chemistry/,+2019-12-19T00:00:00Z
Q79117767,Cinema and Media Arts,Vanderbilt Department of Cinema and Media Arts,"[""Vanderbilt Cinema and Media Arts Department""]",department focused on filmmaking with the study of media theory and global film history,E1A03407-95D7-4B34-A37C-6D74D78461D1,Q7914451,76adac972e8317a41c03d42ab5a11f03aff84bc9,https://as.vanderbilt.edu/academics/departments/,+2019-12-18T00:00:00Z,FC71F586-994F-4217-9047-FA74C3EE0632,https://as.vanderbilt.edu/cinemamediaarts,3133e8400fdadccf0b8d10094908a5dc54dd690f,+2019-12-19T00:00:00Z,0DF4DCF1-DF91-45B7-917B-9BBEC21DDE10,Q2467461,0e1c0af539a7d35a13881248ce71414e1b7bce1e,https://as.vanderbilt.edu/cinemamediaarts,+2019-12-19T00:00:00Z
Q79117777,Classical and Mediterranean Studies,Vanderbilt Department of Classical and Mediterranean Studies,"[""Vanderbilt Classical and Mediterranean Studies Department""]",department offering an interdisciplinary perspective on the culture and history of the Mediterranean world,C5C777E2-4293-4A57-847B-A935DDB74369,Q7914451,76adac972e8317a41c03d42ab5a11f03aff84bc9,https://as.vanderbilt.edu/academics/departments/,+2019-12-18T00:00:00Z,A89B6B5E-6AEB-45D2-B9C5-2B0BB6C8B8E7,https://as.vanderbilt.edu/classics,3133e8400fdadccf0b8d10094908a5dc54dd690f,+2019-12-19T00:00:00Z,576794B8-556C-4680-86B1-408AD52F7BDF,Q2467461,4c31a6a612c31de07f9a6d1549899c5be376a3f0,https://as.vanderbilt.edu/classics,+2019-12-19T00:00:00Z
Q79117786,Communication of Science and Technology,Vanderbilt Communication of Science and Technology Program,"[""Vanderbilt Communication of Science and Technology Department"", ""Vanderbilt Department of Communication of Science and Technology""]",interdisciplinary program focused on communicating science to the public,46814B32-1A1F-4B58-9D5A-58AFAA7E3051,Q7914451,76adac972e8317a41c03d42ab5a11f03aff84bc9,https://as.vanderbilt.edu/academics/departments/,+2019-12-18T00:00:00Z,DBD3678B-0D35-4728-94A1-453EB2E9702F,https://as.vanderbilt.edu/cst/,3133e8400fdadccf0b8d10094908a5dc54dd690f,+2019-12-19T00:00:00Z,AC7B2FBD-1D6D-440A-9174-D5BD45696C1F,Q2467461,700a7a363e91771747cfb9ebeee32207bd063da9,https://as.vanderbilt.edu/cst/,+2019-12-19T00:00:00Z
