qid,label_en,description_en,instance_of_uuid,instance_of,instance_of_ref1_hash,instance_of_ref1_referenceUrl,instance_of_ref1_retrieved_nodeId,instance_of_ref1_retrieved_val,instance_of_ref1_retrieved_prec,part_of_school_uuid,part_of_school,part_of_school_ref1_hash,part_of_school_ref1_referenceUrl,part_of_school_ref1_retrieved_nodeId,part_of_school_ref1_retrieved_val,part_of_school_ref1_retrieved_prec,website_uuid,website,website_language,website_ref1_hash,website_ref1_retrieved_nodeId,website_ref1_retrieved_val,website_ref1_retrieved_prec
,University of Virginia Carter Immunology Center,,,,,,,,,,,,,,,,,,,,,,
,University of Virginia Center for Biomedical Ethics,,,,,,,,,,,,,,,,,,,,,,
,University of Virginia Chaplaincy Services and Pastoral Education,,,,,,,,,,,,,,,,,,,,,,
Q101016181,University of Virginia Department of Anesthesiology,academic department,A713888B-B295-4568-8F1D-9A7031690AE9,Q2467461,,,,,,03D840EC-90BF-49EB-AF0F-F739E8779716,http://www.wikidata.org/entity/Q213439,,,,,,,,,,,,
Q101016184,University of Virginia Department of Biochemistry and Molecular Genetics,academic department,178BBD2F-CD4D-4D16-98B1-58E1C7C10C13,Q2467461,,,,,,7702524B-4CEB-422A-88AB-D15ACAB27A74,http://www.wikidata.org/entity/Q213439,,,,,,,,,,,,
Q101016186,University of Virginia Department of Biomedical Engineering,academic department,ADF3EAAB-B3BD-4C6B-8122-168029570EC1,Q2467461,,,,,,27A88AF3-1D7E-4322-8C43-8968634DE97E,http://www.wikidata.org/entity/Q213439,,,,,,,,,,,,
Q106318734,University of Virginia Department of Cell Biology,academic department at the University of Virginia,1256E666-52CF-4241-BE85-FBAC16B5D26E,Q2467461,,,,,,FD8E3A38-86EC-4D75-B489-E6EAC7F2E309,http://www.wikidata.org/entity/Q7896544,bf205405eb64777fff21f47c945491f3ec65707d,https://med.virginia.edu/cell-biology/,b7e06c4f2d2bd3a678348ab06389fdbb,2021-04-01T00:00:00Z,11,da3474e1-494c-88d9-16a9-7b7e3a6ca87e,https://med.virginia.edu/cell-biology/,Q1860,,,,
,University of Virginia Department of Continuing Medical Education,,,,,,,,,,,,,,,,,,,,,,
,University of Virginia Department of Dentistry,,,,,,,,,,,,,,,,,,,,,,
,University of Virginia Department of Dermatology,,,,,,,,,,,,,,,,,,,,,,
,University of Virginia Department of Emergency Medicine,,,,,,,,,,,,,,,,,,,,,,
Q101016194,University of Virginia Department of Family Medicine,academic department,887993F9-3C2C-4B31-AB44-477907F4C03E,Q2467461,,,,,,4DE54EC4-CB0A-43D0-9876-2A146190DFAE,http://www.wikidata.org/entity/Q213439,,,,,,,,,,,,
,University of Virginia Department of Medical Education,,,,,,,,,,,,,,,,,,,,,,
,"University of Virginia Department of Medicine, Allergy and Immunology",,,,,,,,,,,,,,,,,,,,,,
,"University of Virginia Department of Medicine, Cardiovascular Medicine",,,,,,,,,,,,,,,,,,,,,,
,"University of Virginia Department of Medicine, Center for Inflammation and Regeneration",,,,,,,,,,,,,,,,,,,,,,
,"University of Virginia Department of Medicine, Division of General, Geriatric, & Palliative Care",,,,,,,,,,,,,,,,,,,,,,
,"University of Virginia Department of Medicine, Endocrinology and Metabolism",,,,,,,,,,,,,,,,,,,,,,
,"University of Virginia Department of Medicine, Gastroenterology",,,,,,,,,,,,,,,,,,,,,,
,"University of Virginia Department of Medicine, Hematology and Oncology",,,,,,,,,,,,,,,,,,,,,,
,"University of Virginia Department of Medicine, Hospital Medicine",,,,,,,,,,,,,,,,,,,,,,
,"University of Virginia Department of Medicine, Infectious Diseases",,,,,,,,,,,,,,,,,,,,,,
,"University of Virginia Department of Medicine, Nephrology Division",,,,,,,,,,,,,,,,,,,,,,
,"University of Virginia Department of Medicine, Pulmonary and Critical Care",,,,,,,,,,,,,,,,,,,,,,
,"University of Virginia Department of Medicine, Rheumatology",,,,,,,,,,,,,,,,,,,,,,
Q101016199,University of Virginia Department of Microbiology,academic department,138EC2CC-08C8-431F-8C9A-5D5237BADAF7,Q2467461,,,,,,792FB4B9-B837-470C-959F-2F581014673B,http://www.wikidata.org/entity/Q213439,,,,,,,,,,,,
Q101016201,University of Virginia Department of Molecular Physiology and Biological Physics,academic department,28210652-CFF3-44E6-B874-611852A4CFBA,Q2467461,,,,,,3257ACE7-4FD0-4F7F-8B5A-8C0286D9CCF9,http://www.wikidata.org/entity/Q213439,,,,,,,,,,,,
Q101016206,University of Virginia Department of Neurosurgery,academic department,6414AE7B-16A6-441B-AE43-3CABC0B19F4E,Q2467461,,,,,,BC41936C-6181-4C8B-898F-C2568CD47BB4,http://www.wikidata.org/entity/Q213439,,,,,,,,,,,,
