date,count
2020/03/11,58
2020/03/12,69
2020/03/13,68
2020/03/14,34
2020/03/15,19
2020/03/16,69
2020/03/17,71
2020/03/18,66
2020/03/19,66
2020/03/20,114
2020/03/21,50
2020/03/22,15
2020/03/23,79
2020/03/24,74
2020/03/25,90
2020/03/26,96
2020/03/27,141
2020/03/28,78
2020/03/29,32
2020/03/30,137
2020/03/31,170
2020/04/01,1188
2020/04/02,154
2020/04/03,198
2020/04/04,81
2020/04/05,28
2020/04/06,167
2020/04/07,135
2020/04/08,199
2020/04/09,186
2020/04/10,265
2020/04/11,146
2020/04/12,59
2020/04/13,143
2020/04/14,181
2020/04/15,253
2020/04/16,210
2020/04/17,272
2020/04/18,169
2020/04/19,53
2020/04/20,234
2020/04/21,279
2020/04/22,328
2020/04/23,314
2020/04/24,310
2020/04/25,149
2020/04/26,72
2020/04/27,322
2020/04/28,304
2020/04/29,283
2020/04/30,382
2020/05/01,2257
2020/05/02,112
2020/05/03,93
2020/05/04,254
2020/05/05,324
2020/05/06,321
2020/05/07,350
2020/05/08,392
2020/05/09,87
2020/05/10,71
2020/05/11,424
2020/05/12,359
2020/05/13,373
2020/05/14,402
2020/05/15,460
2020/05/16,238
2020/05/17,85
2020/05/18,337
2020/05/19,392
2020/05/20,306
2020/05/21,395
2020/05/22,373
2020/05/23,224
2020/05/24,78
2020/05/25,262
2020/05/26,374
2020/05/27,380
2020/05/28,417
2020/05/29,431
2020/05/30,288
2020/05/31,153
2020/06/01,4097
2020/06/02,347
2020/06/03,369
2020/06/04,369
2020/06/05,393
2020/06/06,204
2020/06/07,140
2020/06/08,366
2020/06/09,373
2020/06/10,359
2020/06/11,420
2020/06/12,369
2020/06/13,178
2020/06/14,69
2020/06/15,361
2020/06/16,381
2020/06/17,328
2020/06/18,408
2020/06/19,312
2020/06/20,221
2020/06/21,102
2020/06/22,297
2020/06/23,371
2020/06/24,341
2020/06/25,495
2020/06/26,357
2020/06/27,180
2020/06/28,120
2020/06/29,278
2020/06/30,396
2020/07/01,5000
2020/07/02,346
2020/07/03,364
2020/07/04,166
2020/07/05,56
2020/07/06,296
2020/07/07,358
2020/07/08,302
2020/07/09,375
2020/07/10,392
2020/07/11,161
2020/07/12,108
2020/07/13,305
2020/07/14,373
2020/07/15,488
2020/07/16,362
2020/07/17,357
2020/07/18,141
2020/07/19,106
2020/07/20,278
2020/07/21,367
2020/07/22,296
2020/07/23,398
2020/07/24,306
2020/07/25,178
2020/07/26,61
2020/07/27,259
2020/07/28,399
2020/07/29,289
2020/07/30,372
2020/07/31,357
2020/08/01,4592
2020/08/02,84
2020/08/03,323
2020/08/04,375
2020/08/05,343
2020/08/06,378
2020/08/07,363
2020/08/08,152
2020/08/09,88
2020/08/10,288
2020/08/11,356
2020/08/12,298
2020/08/13,341
2020/08/14,339
2020/08/15,230
2020/08/16,76
2020/08/17,259
2020/08/18,411
2020/08/19,286
2020/08/20,396
2020/08/21,254
2020/08/22,117
2020/08/23,51
2020/08/24,281
2020/08/25,395
2020/08/26,336
2020/08/27,385
2020/08/28,404
2020/08/29,146
2020/08/30,72
2020/08/31,260
2020/09/01,4565
2020/09/02,327
2020/09/03,350
2020/09/04,284
2020/09/05,129
2020/09/06,108
2020/09/07,255
2020/09/08,279
2020/09/09,323
2020/09/10,338
2020/09/11,319
2020/09/12,142
2020/09/13,55
2020/09/14,246
2020/09/15,465
2020/09/16,312
2020/09/17,283
2020/09/18,364
2020/09/19,132
2020/09/20,69
2020/09/21,324
2020/09/22,299
2020/09/23,307
2020/09/24,305
2020/09/25,319
2020/09/26,109
2020/09/27,61
2020/09/28,281
2020/09/29,272
2020/09/30,310
2020/10/01,3135
2020/10/02,176
2020/10/03,89
2020/10/04,61
2020/10/05,188
2020/10/06,260
2020/10/07,175
2020/10/08,118
2020/10/09,24
